userPost,userReply,actorReply,type,actor,time
0,,,read,casssssssssie,00:01
0,,,read,M.Kapadia92,00:02
0,,,read,localewis,00:02
0,,,read,livelaughlove,00:06
0,,,read,coachmatthews,00:15
0,,,read,ancho-n-cayenne,00:15
0,,,read,localewis,00:20
0,,,read,tastyrobot,00:23
0,,,read,lee.alexa,00:25
0,,,read,_aikira_,00:25
0,,,read,artisanalways,00:35
0,,,like,casssssssssie,00:01
0,,,like,M.Kapadia92,00:02
0,,,like,localewis,00:02
0,,,like,livelaughlove,00:06
0,,,like,coachmatthews,00:15
1,,,read,M.Kapadia92,00:01
1,,,read,coachmatthews,00:01
1,,,read,ancho-n-cayenne,00:04
1,,,read,localewis,00:05
1,,,read,casssssssssie,00:17
1,,,read,lee.alexa,00:19
1,,,read,john73,00:25
1,,,read,Jcole9,00:28
1,,,read,kittycatbakes,00:30
1,,,read,bblueberryy,00:45
1,,,like,casssssssssie,00:17
1,,,like,lee.alexa,00:19
1,,,like,john73,00:26
2,,,read,localewis,00:04
2,,,read,casssssssssie,00:05
2,,,read,lee.alexa,00:06
2,,,read,breathe_in,00:11
2,,,read,mateoV,00:16
2,,,read,jackrussellmom,00:30
2,,,read,_aikira_,00:51
2,,,read,artisanalways ,00:59
2,,,like,localewis,00:04
2,,,like,jackrussellmom,00:30
2,,,like,_aikira_,00:51
3,,,read,M.Kapadia92,00:02
3,,,read,ancho-n-cayenne,00:03
3,,,read,livelaughlove,00:03
3,,,read,SnakeCharmer,00:08
3,,,read,tastyrobot,00:12
3,,,read,ria_camiii,00:13
3,,,read,breethebaker,00:17
3,,,read,sweetpea,00:27
3,,,read,fusionfeast,00:40
3,,,read,MannyDL34,00:41
3,,,read,earthpulse,00:49
3,,,read,lavenderrrrrr,00:55
3,,,like,ancho-n-cayenne,00:03
3,,,like,livelaughlove,00:04
3,,,like,SnakeCharmer,00:08
3,,,like,tastyrobot,00:13
3,,,like,sweetpea,00:27
4,,,read,NoahM1121,00:04
4,,,read,lavenderrrrrr,00:08
4,,,read,cavsforever,00:08
4,,,read,caffeinated,00:09
4,,,read,wiz_khaleesi,00:18
4,,,read,john73,00:19
4,,,read,casssssssssie,00:31
4,,,read,artisanalways ,00:37
4,,,read,jupiterpride,00:58
4,,,like,cavsforever,00:09
4,,,like,artisanalways ,00:37
4,,,like,NoahM1121,00:04
5,,,read,cavsforever,00:01
5,,,read,coachmatthews,00:01
5,,,read,earthpulse,00:02
5,,,read,fusionfeast,00:06
5,,,read,jackrussellmom,00:08
5,,,read,Jcole9,00:13
5,,,read,john73,00:21
5,,,read,jupiterpride,00:22
5,,,read,kittycatbakes,00:35
5,,,read,lavenderrrrrr,00:45
5,,,read,lee.alexa,00:47
5,,,like,coachmatthews,00:01
5,,,like,john73,00:21
5,,,like,kittycatbakes,00:35
5,,,like,lavenderrrrrr,00:46
,0,,read,M.Kapadia92,00:01
