id,body,picture,actor,time,class,experiment_group
0,The spiralizer got some use for brunch today! #cleaneating #veggielife,20170212_152905108_iOS.jpg,coachmatthews,-20:35,cohort,var1
7770,Love this so much!!!!!,IMG_20190223_203936254_HDR.jpg,difrad,-01:35,cohort,var1
1,GORGEOUS spread at Saigon House for my sister's b-day dinner!,IMAG0003.jpg,coachmatthews,-11:13,cohort,var2
2,"These tilapia fillets are CRAZY easy and super healthy! Just a sprinkle of dried dill, a squeeze of lemon, and 15 minutes in the oven!",IMG_20170105_192151.jpg,coachmatthews,-00:45,cohort,var3
3,When the light on the porch is so perfect it makes your leftovers look gourmet...,james-harris-228578.jpeg,coachmatthews,03:16,cohort,var4
4,Mr. Matthews got me this hanger for my bananas... It's only been a day but I think they're already less beat-up than they would normally be!  Three cheers for modern technology.,IMG_0440.JPG,coachmatthews,07:00,cohort,var1
5,Woke up late and only had time to grab one of these for breakfast. Can you say accidental splurge?,20130726_145708000_iOS.jpg,coachmatthews,24:04,cohort,var2
6,One of the moms from my K-2 class made these adorable pig cookies! How cute are they?!,20131118_154942000_iOS.jpg,coachmatthews,27:17,cohort,var3
7,"""pizza"" on zucchini slices is actually amazing! Love these easy low carb dinners.",20130721_000546845_iOS.jpg,coachmatthews,29:20,cohort,var4
8,can you believe how beautiful these farmer's market apples are? There are actually four or five different kinds here but I totally forget what they're called. ,IMG_20141011_103027.jpg,coachmatthews,49:45,cohort,var1
9,"This amazing vegan goddess bowl (is it still a bowl if it's in styrofoam? haha) that I got at the farmer's market has like ten different things in it - mushrooms, kale, cilantro, peanuts, cabbage, seitan... I wish I remembered them all so I could make it at home!",IMG_20140501_112920.jpg,coachmatthews,52:44,cohort,var2
10,nice layers,eaters-collective-172257.jpeg,M.Kapadia92,-22:40,cohort,var3
11,sprinkle and dot,IMG_1317.JPG,M.Kapadia92,-19:20,cohort,var4
12,a flaky feast,kowalewski-4.jpeg,M.Kapadia92,-16:59,cohort,var1
13,nice light for lettuce,krzysztof-112.jpeg,M.Kapadia92,04:00,cohort,var2
14,strongly recommend this raspberry tart @ Copatelli's,krzysztof-113.jpeg,M.Kapadia92,06:40,cohort,var3
15,perfect baguette,petradr-748.jpeg,M.Kapadia92,09:20,cohort,var4
16,working breakfast,zach-miles-229108.jpeg,M.Kapadia92,19:20,cohort,var1
17,swordfish n broccoli rabe,alex-munsell-18756.jpeg,M.Kapadia92,22:45,cohort,var2
18,mom's favorite,toa-heftiba-88630.jpeg,M.Kapadia92,36:10,cohort,var3
19,great fry presentation @ Avanti on 8th av,stephanie-mccabe-92136.jpeg,M.Kapadia92,39:25,cohort,var4
20,hidden strawberry 🍓,kowalewski-8.jpeg,M.Kapadia92,56:34,cohort,var1
21,light lunch,krzysztof-98.jpeg,M.Kapadia92,60:00,cohort,var2
22,"extra cinnamon on my chai, please! <3 ☕",102_1402.JPG,ancho-n-cayenne,-24:30,cohort,var3
23,the fries were so-so but the pulled pork & fried onion sandwich was stellar!,brandon-morgan-19496.jpeg,ancho-n-cayenne,-20:41,cohort,var4
24,zesty greek chickpea salad!,IMG_0552.JPG,ancho-n-cayenne,-01:40,cohort,var1
25,This ragout was so rich and meaty!,IMG_0315.jpg,ancho-n-cayenne,02:45,cohort,var2
26,loved this spicy bratwurst lunch!,IMG_20170404_182858.jpg,ancho-n-cayenne,25:39,cohort,var3
27,the filters on this chai are egregious but it was sooooooooooooo good!,kowalewski-5.jpeg,ancho-n-cayenne,29:55,cohort,var4
28,spicy breakfast hash <33333,IMG_20170513_105531.jpg,ancho-n-cayenne,38:41,cohort,var1
29,pretty good Thai pork! could have used more chiles but I'm still a fan.,IMG_20170527_192058.jpg,ancho-n-cayenne,40:04,cohort,var2
30,"it doesn't look like it, but this ramen was amazingly spicy! I think they also added some saffron to the broth too, there was something unusual in there... 🍜 ❤️",matthew-hamilton-160833.jpeg,ancho-n-cayenne,59:03,cohort,var3
31,pro tip: alternate between garlic parm n spicy buffalo for a life-changing taste sensation,IMG_20170602_173837.jpg,localewis,-09:08,cohort,var4
32,staying up til 3 to close the bar? this is what u need.,IMG_20170220_075706.jpg,localewis,-04:09,cohort,var1
33,pancakes... my mom would be so proud lol,IMG_20170216_213349.jpg,localewis,11:14,cohort,var2
34,real cheeseburger or imposter? u guys decide,IMG_20160711_220819.jpg,localewis,19:02,cohort,var3
35,ya boy made spaghetti! looks like hair haha,IMG_20170107_172633.jpg,localewis,38:10,cohort,var4
36,that pasta from before all cooked up n ready for sauce,IMG_20161230_213314.jpg,localewis,39:11,cohort,var1
37,look at what my bro got in england lol,IMG_20160928_124145.jpg,localewis,50:12,cohort,var2
38,"forgot to show the pics yesterday but when i made spaghetti i also made lasagna noodles, check out this cheese monster haha",IMG_20161231_215927.jpg,localewis,53:13,cohort,var3
39,every sandwich is better with fries in it lol,IMG_20160725_141010.jpg,localewis,-18:04,cohort,var4
40,chunky or creamy? im a chunky man myself,IMG_20160702_153102.jpg,localewis,58:30,cohort,var1
41,"I finally got around to trying to make chicken parm, you guys! ",IMG_20170204_225840.jpg,casssssssssie,-20:11,cohort,var2
