id,body,actor,reply,class,time
0,This the coolest thing I've ever seen! I have to admire this store's commitment to puns...,casssssssssie,115,normal,-21:02
1,great photo,M.Kapadia92,106,normal,-23:15
2,dude this photo is awesome. you should get whoever took it to join here haha,localewis,90,normal,-17:16
3,Your challah came out so good looking! My family loves it but mine always gets a little flat. Do you mind sending me your recipe? Or even if you have any tips to share?,livelaughlove,69,normal,-13:45
4,I've always wanted to make challah! I hope mine comes out looking this good!,casssssssssie,69,normal,-14:47
6,yo this stuff is 💯,wiz_khaleesi,32,normal,-03:59
7,Ahhh this looks so good! Did you make it?,casssssssssie,107,normal,00:02
8,Sounds like these would make an awesome dessert too.,caffeinated,155,normal,00:20
9,nice shot 📷,fusionfeast,95,normal,05:01
9999,Love it!,difrad,95,normal,05:10
10,"oops, I meant burger...",lavenderrrrrr,95,normal,03:30
11,this is such a lovely photo!,sweetpea,13,normal,05:20
12,genius! 😂,localewis,66,normal,10:24
13,I need to try this! I've always wanted to make ramen!,artisanalways,66,normal,10:30
14,so smart! I still prefer the texture of actual ramen though...,breathe_in,66,normal,10:44
15,nice! how did they taste?,localewis,157,normal,16:58
16,looks good man,john73,126,normal,20:22
17,I love currants! This looks sooo tasty!!,casssssssssie,117,normal,22:16
18,bro that's genius haha,cavsforever,104,normal,26:13
19,I've had it! Watching the process is definitely the best part haha,lee.alexa,83,normal,30:45
20,"I haven't had it, but I think I need to. Matcha ice cream is the best.",livelaughlove,83,normal,30:50
21,I totally feel you here. The third that has the greens on it is always the biggest struggle.,breethebaker,75,normal,33:20
22,that's a disappointment. you should complain,NoahM1121,67,normal,34:30
23,I hope it was good at least?,M.Kapadia92,79,normal,36:45
24,that sucks :C,ria_camiii,79,normal,37:04
26,delicious! Makes me want to break out the panini maker! ,breathe_in,135,normal,42:30
27,It really does look gourmet! :),Jcole9,122,normal,45:20
28,I love baking with ginger! this looks sooo tasty!,casssssssssie,109,normal,48:05
29,these are gorgeous!,casssssssssie,8,normal,49:50
30,How do you make soda? Inquiring (& soda-loving) minds want to know!,lavenderrrrrr,101,normal,51:01
31,Well done! That's not something I've managed to do yet...,fusionfeast,101,normal,52:10
32,So cool! How did you make it?,sweetpea,101,normal,53:30
33,"For everyone asking how to make soda: The basic recipe is to fill a clean, empty plastic bottle most of the way with water, add the flavored simple syrup of your choice (yes, you must use real sugar!) and a pinch of yeast. Champagne yeast is ideal if you can find it, but regular bread yeast works too. Then screw the cap on and let it sit for 24 hours or so. Taste after that time to make sure it's bubbly. If it is, put it in the fridge so it doesn't explode. Then enjoy!",earthpulse,101,normal,55:30
34,"I had donuts with lunch again today, in case anyone was wondering.. #onaroll #winning",tastyrobot,58,normal,37:50
35,"Creamy here! Agree to disagree, I guess...",ancho-n-cayenne,40,normal,59:30
36,"my mouth is literally watering, what an amazing flavor combo...",jupiterpride,162,normal,65:05
37,"I love old cookbooks, they're always full of gems!",casssssssssie,132,normal,67:35
38,That looks pretty gross hahah,MannyDL34,119,marginal,08:45
39,pretty!,jackrussellmom,11,normal,02:45
40,r u sure u didnt lift this from a stock photo site lol,SnakeCharmer,14,marginal,10:18
41,That looks disgusting tbh :/,kittycatbakes,37,marginal,67:50
42,this pun is too much,wiz_khaleesi,115,marginal,-20:01
43,I got food poisoning from a yorkshire pudding once so just looking at this is bringing back not-so-great memories. no offense haha,lavenderrrrrr,120,marginal,03:47
44,bro you eat too much ice cream,localewis,145,marginal,50:50
45,umm... you didn't bother to ask what was in it?!?!,artisanalways,47,marginal,38:50
46,be grateful that they even like broccoli!,coachmatthews,73,marginal,-11:08
47,that looks disappointing. wings are only good if you eat too many imo,jupiterpride,92,marginal,39:50
48,"you could probly make that at home for cheaper... these fancy bagel places are all $$$$, not worth it",mateoV,78,marginal,17:35
49,oooh got an avocado-loving white girl over here lol,_aikira_,136,marginal,66:40
50,i spy the kiddie popsicle things u can get at Target...,coachmatthews,64,marginal,70:19
51,im sure this was really good but I could never do the marshmallows with dinner. way too sweet!,lavenderrrrrr,154,marginal,04:00
53,where do you even get something like that ,earthpulse,87,marginal,06:00
54,yum yum id like to eat that with you ;),Jcole9,111,marginal,-05:00
55,that sweet of you. My mom loves the homemade cakes I make her for her birthdays.,coachmatthews,137,marginal,24:00
56,"stop posting this shit, nobody cares",bblueberryy,42,bullying,-12:39
57,your life is sad. look at what you eat,bblueberryy,45,bullying,11:42
58,when will you get it into your head that nobody likes your stupid ass.,bblueberryy,48,bullying,25:43
59,"this photo is uglier than you, and thats saying something",bblueberryy,53,bullying,50:45
60,"Love pizza, zucchini not so much. Still might have to give it a shot sometime though",SamTHEMAN,7,normal,33:22
61,so good....bread is one of biggest weaknesses. Carbs are the enemy though...,SamTHEMAN,15,normal,50:30
62,My invite must have got lost in the mail...,SamTHEMAN,166,normal,22:34
63,"c'mon you're making me hungry, might have to order me and the boys a few of those tonight",SamTHEMAN,111,normal,-2:13
64,We love Aiellos! They're sauces are to die for :),hockeymom101,81,normal,2:45
65,Adorable Cass! How do you find these places?,hockeymom101,50,normal,70:15
67,Dinner of champions right there lol. ,hockeymom101,102,normal,68:34
68,Yum. That would be a huge hit in our house...we can't keep enough ice cream in our fridge these days!,hockeymom101,96,normal,32:45
69,AHAHA classic Murph...that guy can;t get enough of his nachos,Smitty12,185,normal,40:23
70,Nothing compares to our Chowdaa from the east coast,Smitty12,156,normal,26:44
71,Happy bday to your mom and all the best to the family mateo,Smitty12,137,normal,29:15
72,cant wait for our tacofest in the summer,Smitty12,201,normal,26:12
73,im coming over....you cant have meatballs without me!!!,southerngirlCel,186,normal,70:12
74,"i need the recipe, apricots are my fav lolol",southerngirlCel,97,normal,58:07
75," look at you, so dedicated. miss you tons, keep killin it !",southerngirlCel,108,normal,30:30
76,"me, lex and kel went there last night. Soooooooo good",southerngirlCel,1,normal,2:02
77,omg he's too cute! I miss Ben so much <3,KatieeeM,194,normal,-11:28
78,Man this DOES NOT look like donuts but now I want some lol,thisisalfie1998,58,normal,15:49
79,What's the name of the place??,sweetietooth,245,normal,5:42
80,Don't we all just live for these?!,sweetietooth,246,normal,32:00
81,Japchaes are my favorite too!,sweetietooth,256,normal,-8:23
82,Awesome picture! I dig it.,ayoitsayo,78,normal,10:31
83,Lit 🔥🔥🔥,ayoitsayo,103,normal,04:02
84,This can't be real!,ayoitsayo,246,normal,32:43
85, 2 bacon cheeseburgs would!,cavsforever,253,normal,35:03
